iter	Passed	Remaining
194	271	1120
195	273	1120
196	274	1119
197	276	1118
198	277	1117
199	279	1116
200	280	1115
201	281	1113
202	283	1112
203	284	1111
204	286	1110
205	287	1109
206	289	1109
207	290	1105
208	291	1104
209	293	1103
210	295	1103
211	296	1102
212	298	1102
213	300	1101
214	301	1101
215	303	1101
216	304	1100
217	306	1099
218	307	1097
219	309	1096
220	310	1095
221	312	1094
222	313	1093
223	315	1091
224	316	1090
225	317	1086
226	318	1085
227	320	1084
228	321	1083
229	323	1081
230	324	1080
231	326	1079
232	327	1078
233	328	1076
234	330	1075
235	331	1074
236	333	1073
237	334	1072
238	335	1069
239	337	1068
240	338	1065
241	340	1065
242	341	1064
243	343	1063
244	359	1108
245	361	1107
246	362	1105
247	364	1103
248	365	1102
249	366	1100
250	368	1099
251	369	1097
252	371	1095
253	372	1094
254	374	1093
255	375	1092
256	377	1090
257	378	1089
258	380	1088
259	381	1086
260	383	1084
261	384	1083
262	385	1081
263	387	1080
264	389	1079
265	390	1076
266	391	1074
267	392	1072
268	394	1071
269	395	1069
270	397	1068
271	398	1067
272	400	1065
273	401	1064
274	403	1063
275	404	1061
276	406	1060
277	407	1059
278	409	1057
279	410	1056
280	412	1054
281	413	1053
282	415	1052
283	416	1051
284	418	1049
285	419	1048
286	420	1044
287	422	1043
288	423	1040
289	424	1039
290	425	1037
291	427	1036
292	428	1035
293	430	1033
294	431	1032
295	432	1029
296	434	1028
297	435	1026
298	437	1025
299	438	1023
300	440	1022
301	441	1020
302	442	1018
303	444	1017
304	446	1016
305	446	1013
306	448	1012
307	449	1010
308	451	1009
309	452	1007
310	454	1006
311	455	1004
312	457	1003
313	458	1001
314	460	1000
315	461	998
316	462	997
317	464	995
318	465	994
319	467	992
320	468	990
321	469	988
322	471	987
323	472	985
324	474	984
325	475	983
326	476	981
327	478	980
328	479	978
329	481	976
330	481	974
331	483	972
332	485	971
333	486	970
334	488	969
335	490	968
336	491	967
337	493	966
338	495	965
339	496	964
340	497	961
341	499	960
342	500	959
343	502	957
344	503	956
345	504	954
346	506	952
347	507	951
348	509	950
349	511	949
350	512	948
351	514	947
352	516	946
353	518	945
354	520	945
355	522	944
356	523	942
357	525	941
358	526	940
359	528	938
360	529	937
361	531	936
362	533	935
363	534	934
364	536	933
365	538	932
366	539	930
367	541	929
368	542	928
369	544	927
370	546	925
371	547	924
372	549	922
373	550	921
374	552	920
375	553	918
376	555	917
377	556	915
378	557	914
379	559	912
380	561	911
381	562	909
382	563	908
383	565	907
384	566	905
385	568	904
386	569	902
387	571	901
388	572	899
389	574	898
390	575	896
391	577	895
392	578	893
393	579	891
394	581	890
395	582	888
396	584	887
397	585	885
398	587	884
399	588	882
400	590	881
401	591	880
402	592	877
403	593	876
404	595	874
405	596	873
406	598	871
407	599	870
408	601	868
409	602	867
410	604	865
411	604	863
412	606	861
413	607	860
414	609	858
415	610	856
416	611	855
417	613	853
418	614	852
419	616	850
420	617	849
421	619	847
422	620	846
423	621	844
424	623	842
425	624	841
426	626	840
427	627	839
428	629	837
429	631	836
430	632	835
431	634	833
432	635	832
433	636	830
434	638	828
435	639	827
436	641	825
437	642	824
438	644	823
439	645	821
440	646	820
441	648	818
442	650	817
443	651	815
444	652	814
445	654	812
446	655	811
447	657	810
448	658	807
449	659	806
450	661	805
451	662	803
452	663	801
453	665	800
454	666	798
455	667	796
456	668	794
457	670	793
458	671	791
459	673	790
460	674	788
461	676	788
462	678	786
463	680	786
464	682	784
465	683	783
466	685	782
467	687	781
468	688	779
469	690	778
470	691	777
471	693	775
472	695	774
473	696	773
474	698	772
475	700	770
476	701	769
477	703	768
478	705	767
479	707	766
480	709	765
481	710	763
482	712	762
483	713	761
484	715	759
485	716	757
486	717	755
487	719	754
488	721	754
489	723	753
490	725	751
491	726	750
492	727	748
493	729	746
494	730	745
495	732	743
496	734	743
497	736	742
498	738	741
499	740	740
500	742	739
501	744	738
502	746	737
503	748	736
504	750	735
505	751	734
506	753	733
507	755	731
508	757	730
509	759	729
510	760	728
511	762	726
512	764	725
513	766	724
514	767	723
515	769	721
516	771	720
517	772	718
518	774	717
519	775	716
520	777	714
521	778	713
522	779	711
523	781	709
524	783	708
525	784	707
526	786	705
527	787	704
528	789	702
529	790	701
530	792	699
531	793	698
532	795	696
533	796	695
534	799	694
535	800	693
536	802	692
537	805	691
538	807	690
539	809	689
540	811	688
541	813	687
542	815	685
543	816	684
544	818	682
545	819	681
546	820	679
547	822	678
548	824	676
549	825	675
550	827	674
551	828	672
552	830	671
553	832	669
554	833	668
555	835	667
556	837	666
557	839	665
558	842	664
559	844	663
560	845	661
561	847	660
562	849	659
563	853	659
564	855	658
565	857	657
566	859	656
567	861	655
568	864	654
569	866	653
570	868	652
571	870	651
572	872	649
573	873	648
574	875	647
575	877	645
576	879	644
577	881	643
578	883	642
579	885	640
580	887	639
581	889	638
582	891	637
583	893	636
584	895	635
585	896	633
586	898	631
587	899	630
588	901	629
589	903	627
590	904	626
591	906	624
592	908	623
593	909	621
594	911	620
595	912	618
596	914	617
597	915	615
598	917	614
599	918	612
600	920	610
601	921	609
602	923	607
603	924	606
604	926	604
605	927	603
606	928	601
607	929	599
608	931	597
609	932	596
610	934	594
611	935	593
612	937	591
613	938	589
614	939	588
615	941	586
616	942	585
617	944	583
618	945	582
619	947	580
620	948	578
621	950	577
622	951	575
623	953	574
624	954	572
625	956	571
626	957	569
627	959	568
628	960	566
629	962	565
630	963	563
631	965	561
632	966	560
633	968	558
634	969	557
635	971	555
636	972	554
637	974	552
638	975	551
639	977	549
640	978	548
641	980	546
642	981	545
643	984	544
644	985	542
645	987	540
646	988	539
647	990	537
648	991	536
649	993	535
650	995	533
651	996	532
652	998	530
653	999	528
654	1000	527
655	1002	525
656	1003	523
657	1005	522
658	1006	520
659	1008	519
660	1009	517
661	1011	516
662	1012	514
663	1014	513
664	1015	511
665	1017	510
666	1018	508
667	1020	507
668	1022	505
669	1023	504
670	1025	502
671	1027	501
672	1029	500
673	1030	498
674	1032	497
675	1034	495
676	1036	494
677	1038	493
678	1040	491
679	1042	490
680	1044	489
681	1045	487
682	1047	486
683	1048	484
684	1050	483
685	1052	481
686	1053	480
687	1055	478
688	1056	477
689	1058	475
690	1059	473
691	1061	472
692	1062	470
693	1064	469
694	1065	467
695	1066	466
696	1068	464
697	1069	462
698	1071	461
699	1072	459
700	1074	458
701	1075	456
702	1077	455
703	1078	453
704	1080	451
705	1081	450
706	1083	448
707	1084	447
708	1086	445
709	1087	444
710	1088	442
711	1090	441
712	1092	439
713	1093	438
714	1095	436
715	1096	434
716	1098	433
717	1099	431
718	1101	430
719	1103	428
720	1104	427
721	1106	425
722	1107	424
723	1109	422
724	1110	421
725	1112	419
726	1114	418
727	1115	416
728	1117	415
729	1119	413
730	1120	412
731	1122	410
732	1123	409
733	1125	407
734	1126	406
735	1128	404
736	1130	403
737	1131	401
738	1133	400
739	1134	398
740	1136	397
741	1137	395
742	1139	394
743	1140	392
744	1142	391
745	1144	389
746	1145	388
747	1147	386
748	1148	384
749	1150	383
750	1151	381
751	1153	380
752	1155	378
753	1156	377
754	1158	375
755	1159	374
756	1161	372
757	1163	371
758	1164	369
759	1166	368
760	1167	366
761	1168	365
762	1170	363
763	1171	361
764	1172	360
765	1174	358
766	1176	357
767	1177	355
768	1179	354
769	1180	352
770	1182	351
771	1183	349
772	1185	348
773	1186	346
774	1188	345
775	1189	343
776	1191	342
777	1193	340
778	1195	339
779	1197	337
780	1198	336
781	1200	334
782	1201	332
783	1202	331
784	1204	329
785	1205	328
786	1207	326
787	1209	325
788	1211	323
789	1213	322
790	1214	321
791	1217	319
792	1218	318
793	1220	316
794	1222	315
795	1223	313
796	1225	312
797	1226	310
798	1228	308
799	1229	307
800	1231	305
801	1232	304
802	1234	302
803	1235	301
804	1237	299
805	1239	298
806	1240	296
807	1242	295
808	1244	293
809	1245	292
810	1247	290
811	1248	289
812	1250	287
813	1252	286
814	1253	284
815	1255	283
816	1257	281
817	1258	280
818	1260	278
819	1261	276
820	1263	275
821	1264	273
822	1266	272
823	1267	270
824	1269	269
825	1271	267
826	1272	266
827	1273	264
828	1275	263
829	1276	261
830	1278	259
831	1279	258
832	1281	256
833	1283	255
834	1284	253
835	1286	252
836	1287	250
837	1289	249
838	1291	247
839	1292	246
840	1294	244
841	1295	243
842	1297	241
843	1299	240
844	1300	238
845	1302	237
846	1303	235
847	1305	233
848	1306	232
849	1308	230
850	1309	229
851	1311	227
852	1313	226
853	1314	224
854	1316	223
855	1317	221
856	1319	220
857	1320	218
858	1322	217
859	1323	215
860	1325	213
861	1326	212
862	1328	210
863	1330	209
864	1331	207
865	1333	206
866	1334	204
867	1336	203
868	1337	201
869	1339	200
870	1340	198
871	1342	197
872	1344	195
873	1345	194
874	1347	192
875	1348	190
876	1350	189
877	1352	187
878	1353	186
879	1355	184
880	1356	183
881	1358	181
882	1359	180
883	1361	178
884	1362	177
885	1364	175
886	1366	174
887	1368	172
888	1369	171
889	1371	169
890	1373	167
891	1374	166
892	1376	164
893	1378	163
894	1380	161
895	1382	160
896	1384	158
897	1385	157
898	1387	155
899	1389	154
900	1391	152
901	1393	151
902	1394	149
903	1396	148
904	1398	146
905	1400	145
906	1401	143
907	1403	142
908	1404	140
909	1406	139
910	1407	137
911	1409	135
912	1410	134
913	1411	132
914	1413	131
915	1414	129
916	1416	128
917	1417	126
918	1418	125
919	1420	123
920	1421	121
921	1423	120
922	1424	118
923	1426	117
924	1427	115
925	1428	114
926	1430	112
927	1431	111
928	1433	109
929	1434	107
930	1436	106
931	1437	104
932	1439	103
933	1440	101
934	1442	100
935	1443	98
936	1445	97
937	1446	95
938	1448	94
939	1449	92
940	1451	90
941	1452	89
942	1454	87
943	1456	86
944	1457	84
945	1459	83
946	1460	81
947	1462	80
948	1464	78
949	1466	77
950	1468	75
951	1469	74
952	1471	72
953	1473	71
954	1475	69
955	1477	67
956	1478	66
957	1480	64
958	1481	63
959	1483	61
960	1485	60
961	1486	58
962	1488	57
963	1490	55
964	1492	54
965	1493	52
966	1495	51
967	1496	49
968	1498	47
969	1500	46
970	1501	44
971	1504	43
972	1505	41
973	1507	40
974	1508	38
975	1510	37
976	1511	35
977	1513	34
978	1515	32
979	1517	30
980	1519	29
981	1521	27
982	1522	26
983	1524	24
984	1525	23
985	1527	21
986	1529	20
987	1530	18
988	1532	17
989	1534	15
990	1536	13
991	1538	12
992	1539	10
993	1540	9
994	1542	7
995	1544	6
996	1545	4
997	1547	3
998	1549	1
999	1551	0
