iter	Logloss
0	0.6861570945
1	0.6793269292
2	0.6730028808
3	0.6678536854
4	0.6611947111
5	0.6553075706
6	0.649748727
7	0.643549032
8	0.6376790139
9	0.6322432743
10	0.6262970504
11	0.6205698319
12	0.6164513267
13	0.6112425135
14	0.6061658415
15	0.6010704315
16	0.5965741259
17	0.5924101709
18	0.5890321115
19	0.5843982709
20	0.5800749254
21	0.5760810492
22	0.5715275623
23	0.5678836884
24	0.5658409592
25	0.5619571977
26	0.5600062518
27	0.5566298719
28	0.5529902803
29	0.5492910116
30	0.546239001
31	0.5423985428
32	0.5407109842
33	0.5370892869
34	0.5336947154
35	0.5320669765
36	0.5289499644
37	0.5257869412
38	0.5243225403
39	0.5217819029
40	0.51931202
41	0.5169667524
42	0.5148746889
43	0.5135738481
44	0.5113172325
45	0.5090409785
46	0.5063599694
47	0.5039715748
48	0.5021608311
49	0.4994952679
50	0.4971933566
51	0.4959804915
52	0.4935442752
53	0.4919630634
54	0.4900000104
55	0.4880147482
56	0.4860691095
57	0.4844343169
58	0.4822589536
59	0.4806006694
60	0.4785421479
61	0.4765115845
62	0.4746408969
63	0.473055499
64	0.4713084304
65	0.4694018827
66	0.4675068974
67	0.4660356575
68	0.4641256514
69	0.462681428
70	0.4607275714
71	0.4590667339
72	0.4579804201
73	0.4563039206
74	0.4548283982
75	0.4531003871
76	0.4515680434
77	0.450458383
78	0.4494358408
79	0.4482723343
80	0.4469148181
81	0.4459014221
82	0.4444829389
83	0.4436391559
84	0.4424526691
85	0.4413022142
86	0.4401889432
87	0.4394524025
88	0.4382019426
89	0.4368305555
90	0.435785376
91	0.4348262638
92	0.4340345757
93	0.4333704861
94	0.4322615588
95	0.4314283944
96	0.4309553231
97	0.4296808392
98	0.4288662242
99	0.4280720149
100	0.4274126964
101	0.4267229326
102	0.4256455646
103	0.4247191664
104	0.4237718536
105	0.4229872534
106	0.422614723
107	0.4217911335
108	0.4212767528
109	0.4204896477
110	0.419616449
111	0.4187532136
112	0.4182249496
113	0.4173551361
114	0.4167772696
115	0.4159977092
116	0.4152041467
117	0.4144499922
118	0.4134909605
119	0.4129979535
120	0.4121198693
121	0.4119071578
122	0.4112223574
123	0.4103586508
124	0.4101122393
125	0.4091732744
126	0.4089457381
127	0.4087656041
128	0.4080685896
129	0.4073691043
130	0.4067319509
131	0.4063379989
132	0.4059236446
133	0.4054910639
134	0.404990002
135	0.4044404057
136	0.404049179
137	0.4035970681
138	0.4031083231
139	0.4025278033
140	0.4018525039
141	0.4015733179
142	0.400844408
143	0.4003646577
144	0.4000275248
145	0.3994157978
146	0.3992628869
147	0.3989007966
148	0.3983438003
149	0.397918159
150	0.3975084914
151	0.3968134155
152	0.3962055169
153	0.3957866733
154	0.3952905656
155	0.3947967543
156	0.3947348028
157	0.3942202784
158	0.3939205776
159	0.3935056755
160	0.393214639
161	0.3928611536
162	0.3923552329
163	0.3919333906
164	0.3914718745
165	0.3908117656
166	0.3902585586
167	0.3901640613
168	0.3899458961
169	0.3896050773
170	0.3892768297
171	0.3891844978
172	0.3888295826
173	0.3883892159
174	0.3882690768
175	0.3876383984
176	0.3871837132
177	0.3867808669
178	0.3865824435
179	0.386371638
180	0.3862298818
181	0.3860886217
182	0.3858365015
183	0.3855596356
184	0.3850295088
185	0.3846904154
186	0.3845714422
187	0.3840958362
188	0.3836988248
189	0.3833878303
190	0.3832356895
191	0.3829494947
192	0.3825758071
193	0.3821925888
194	0.3817716652
195	0.3815652102
196	0.3811097471
197	0.3808484996
198	0.3804916836
199	0.3801935076
200	0.3798802648
201	0.3796160222
202	0.3791017527
203	0.378774338
204	0.3784538048
205	0.3781875481
206	0.3779253734
207	0.3778894814
208	0.3775987824
209	0.377242073
210	0.3767892657
211	0.3765379379
212	0.3762941103
213	0.3760431832
214	0.3758023036
215	0.3756643673
216	0.375472944
217	0.3752330794
218	0.3750679499
219	0.3746810821
220	0.3742308944
221	0.3740853536
222	0.3739545945
223	0.3736147271
224	0.3733889485
225	0.3733625715
226	0.3730833506
227	0.3729630625
228	0.3726085347
229	0.3724819544
230	0.3722455038
231	0.3718603073
232	0.3715314178
233	0.3713052469
234	0.371135503
235	0.3709094049
236	0.3706582276
237	0.3704819265
238	0.3704615064
239	0.3702405862
240	0.370197515
241	0.3698057125
242	0.3696095721
243	0.3693526462
244	0.3691162901
245	0.368832841
246	0.3686133911
247	0.3684017807
248	0.3681902746
249	0.3681088561
250	0.3680228336
251	0.3679355404
252	0.3677886795
253	0.3676069795
254	0.3674068097
255	0.3671327208
256	0.3669458872
257	0.366728981
258	0.3665313689
259	0.3661994598
260	0.3658273749
261	0.3656365365
262	0.3654193375
263	0.3652686865
264	0.3650676878
265	0.3649708473
266	0.3649122145
267	0.3647532445
268	0.3645361315
269	0.3644501663
270	0.3642627339
271	0.3641269805
272	0.3638288793
273	0.3636467432
274	0.3635645007
275	0.3633310466
276	0.36321485
277	0.3630159151
278	0.362716578
279	0.3624643593
280	0.3621482766
281	0.3618911747
282	0.36165858
283	0.3613627782
284	0.3611368286
285	0.3609325949
286	0.3609238698
287	0.3607232656
288	0.3606559592
289	0.3603762434
290	0.3601299028
291	0.3599352986
292	0.359823591
293	0.3595403656
294	0.3593588185
295	0.3592751774
296	0.359137369
297	0.3590428114
298	0.35887167
299	0.3587665248
300	0.3585640911
301	0.3584528644
302	0.3582308637
303	0.3581082067
304	0.3579472816
305	0.3579229777
306	0.3577715463
307	0.3575088754
308	0.3573649378
309	0.3571827607
310	0.3569198901
311	0.3567393818
312	0.3565564283
313	0.356399081
314	0.3562737264
315	0.3562195707
316	0.3560683071
317	0.3558559084
318	0.3557648563
319	0.3553889989
320	0.3553332046
321	0.3550197504
322	0.3549143145
323	0.354611256
324	0.3544102559
325	0.3542845557
326	0.354104118
327	0.3540251785
328	0.3539708322
329	0.3538163471
330	0.3537905081
331	0.3536006849
332	0.3535141713
333	0.3534537498
334	0.3534134292
335	0.3530667633
336	0.3528291758
337	0.3527022459
338	0.3525624536
339	0.3523472815
340	0.3522940238
341	0.3521437916
342	0.3519251363
343	0.3518314765
344	0.351495248
345	0.3514671751
346	0.3512447947
347	0.3511506627
348	0.3510338678
349	0.350926638
350	0.350719089
351	0.3506130925
352	0.3504338004
353	0.3503425352
354	0.3501909665
355	0.3500939776
356	0.3500900466
357	0.3499856655
358	0.3499654022
359	0.3497551974
360	0.3495762185
361	0.3494092316
362	0.3492585753
363	0.3491348174
364	0.3489370352
365	0.3487593938
366	0.3486969889
367	0.3486121539
368	0.3485090622
369	0.3483085947
370	0.3481507054
371	0.3480624051
372	0.3479740859
373	0.3478935818
374	0.3477554408
375	0.3475665293
376	0.3472908042
377	0.3472407427
378	0.3469186174
379	0.3468245787
380	0.3467220071
381	0.3465766502
382	0.3463880251
383	0.3461958326
384	0.3459919556
385	0.345914395
386	0.3458382257
387	0.3457096701
388	0.3455605026
389	0.3454839959
390	0.3453881578
391	0.3452701808
392	0.3452484131
393	0.345185457
394	0.3450733758
395	0.3449456745
396	0.3447827386
397	0.3446786142
398	0.3444477632
399	0.3442592737
400	0.3440963667
401	0.3439971553
402	0.3439772814
403	0.3438822301
404	0.3437451938
405	0.3436506772
406	0.3434167198
407	0.3431680717
408	0.343071619
409	0.3429790168
410	0.3427384335
411	0.3427361075
412	0.3426336953
413	0.3425248901
414	0.3424595274
415	0.3424146082
416	0.3422433917
417	0.3420890381
418	0.3418828291
419	0.3418022542
420	0.3416073177
421	0.3412335789
422	0.3411822555
423	0.3411717687
424	0.3411525878
425	0.3409771365
426	0.3408754498
427	0.3407571218
428	0.3406391085
429	0.3404799483
430	0.340402567
431	0.3401091345
432	0.3400059381
433	0.3399858464
434	0.3398245498
435	0.3397254604
436	0.3396390005
437	0.3394671183
438	0.3392898171
439	0.3390952017
440	0.3387315204
441	0.3386633475
442	0.3384070214
443	0.3383597423
444	0.3381627452
445	0.3380469369
446	0.3379879263
447	0.3377369876
448	0.3377183302
449	0.3376821579
450	0.3376348381
451	0.3374627742
452	0.3374469355
453	0.3374073301
454	0.3373891729
455	0.3373636724
456	0.3373531009
457	0.33717461
458	0.3370974846
459	0.3370176254
460	0.3367712726
461	0.3366243642
462	0.336585159
463	0.3365596317
464	0.3363987144
465	0.3362184966
466	0.3359697765
467	0.3357761904
468	0.3357172349
469	0.3354781113
470	0.3353422785
471	0.3352994531
472	0.335154102
473	0.335058587
474	0.3349255305
475	0.3348591856
476	0.3345495472
477	0.3344518737
478	0.3342479751
