iter	RMSE
0	11588.83457
1	11250.14429
2	10938.59253
3	10605.04506
4	10280.98951
5	9998.01814
6	9734.847183
7	9472.731826
8	9218.377952
9	8963.107976
10	8734.154796
11	8517.39994
12	8319.031585
13	8115.977175
14	7908.602286
15	7740.165372
16	7567.641131
17	7418.204032
18	7270.655503
19	7118.063006
20	6969.638437
21	6834.684291
22	6715.858759
23	6586.736969
24	6468.298633
25	6352.982826
26	6240.697645
27	6138.872048
28	6054.334322
29	5963.996496
30	5874.846095
31	5797.213234
32	5714.240947
33	5645.02219
34	5577.414021
35	5511.514901
36	5447.926057
37	5383.512867
38	5329.791042
39	5283.624257
40	5243.051011
41	5199.171173
42	5149.790678
43	5105.096136
44	5076.065748
45	5043.749821
46	5003.856554
47	4967.393926
48	4931.273051
49	4903.009582
50	4872.076738
51	4844.260058
52	4816.665238
53	4794.260316
54	4772.06796
55	4753.999973
56	4732.395896
57	4712.739792
58	4693.391902
59	4677.094119
60	4658.193887
61	4639.685409
62	4623.427542
63	4605.685355
64	4591.852312
65	4580.981167
66	4567.644554
67	4556.421329
68	4546.575238
69	4532.99368
70	4522.737172
71	4512.858188
72	4503.020036
73	4494.810399
74	4484.814984
75	4481.452678
76	4471.940056
77	4461.916197
78	4456.905272
79	4448.665866
80	4441.611047
81	4436.775857
82	4431.400712
83	4424.171041
84	4422.308912
85	4413.88381
86	4406.687079
87	4400.714418
88	4393.445301
89	4387.731022
90	4381.842204
91	4376.217443
92	4375.233585
93	4371.9914
94	4366.961394
95	4360.841866
96	4357.050788
97	4349.415882
98	4342.583632
99	4335.575943
100	4331.325054
101	4324.639019
102	4319.393229
103	4313.532714
104	4310.02839
105	4307.39374
106	4303.913741
107	4299.155419
108	4297.595599
109	4294.598184
110	4290.434952
111	4286.774282
112	4282.846304
113	4280.971631
114	4276.181818
115	4269.734423
116	4264.787815
117	4260.884324
118	4257.283968
119	4254.20692
120	4248.217669
121	4245.63039
122	4239.043079
123	4232.927224
124	4229.958174
125	4226.851947
126	4223.353461
127	4217.547245
128	4215.223951
129	4211.935518
130	4209.386678
131	4206.634549
132	4201.367108
133	4198.993332
134	4195.819538
135	4192.197285
136	4189.714944
137	4186.09888
138	4183.114479
139	4179.062081
140	4175.614955
141	4173.866758
142	4170.584627
143	4168.52854
144	4164.967166
145	4162.784437
146	4158.242941
147	4155.638302
148	4150.950313
149	4146.322769
150	4144.438385
151	4139.353085
152	4134.709386
153	4130.81278
154	4128.002866
155	4125.157552
156	4123.304762
157	4121.266863
158	4116.92177
159	4112.49258
160	4110.309174
161	4103.8552
162	4100.847151
163	4098.319766
164	4095.36891
165	4092.221036
166	4090.596144
167	4089.075075
168	4084.31179
169	4082.933736
170	4080.884579
171	4078.889737
172	4077.90377
173	4075.930507
174	4073.565966
175	4070.546989
176	4069.692515
177	4066.815933
178	4064.464664
179	4062.186493
180	4057.437103
181	4055.174397
182	4051.675126
183	4050.014836
184	4046.915042
185	4045.154712
186	4043.023785
187	4037.942478
188	4033.923614
189	4032.314521
190	4030.749156
191	4029.407773
192	4028.972408
193	4025.939947
194	4024.315002
195	4022.685386
196	4021.570587
197	4019.87108
198	4017.712635
199	4013.485388
200	4009.552182
201	4008.309046
202	4005.11689
203	4004.050625
204	4000.296796
205	3996.484908
206	3995.001328
207	3992.698099
208	3989.426102
209	3987.915272
210	3987.07057
211	3985.528885
212	3984.731876
213	3983.198392
214	3982.60468
215	3982.233829
216	3980.769758
217	3978.925431
218	3973.403837
219	3972.088793
220	3970.392941
221	3968.785526
222	3963.658272
223	3962.245015
224	3961.176012
225	3957.481083
226	3956.231125
227	3955.177766
228	3954.136179
229	3950.296273
230	3949.299006
231	3947.973674
232	3946.43978
233	3946.240235
234	3942.061119
235	3941.16451
236	3937.779058
237	3936.349546
238	3932.036992
239	3931.877466
240	3930.340498
241	3927.4345
242	3925.74585
243	3924.227352
244	3923.233344
245	3920.605086
246	3918.735625
247	3916.529816
248	3913.764518
249	3912.111622
250	3908.664075
251	3904.833966
252	3904.064619
253	3903.048274
254	3900.30686
255	3899.551358
256	3898.11316
257	3894.181122
258	3891.557523
259	3890.745739
260	3887.059088
261	3886.232482
262	3882.460325
263	3880.9113
264	3880.73582
265	3879.906255
266	3878.917611
267	3877.820255
268	3876.840964
269	3875.152377
270	3873.591347
271	3871.56857
272	3868.982939
273	3867.165369
274	3866.38979
275	3862.763666
276	3858.655207
277	3856.939152
278	3854.299728
279	3850.55011
280	3849.531338
281	3848.923441
282	3846.920143
283	3846.134622
284	3845.165318
285	3844.197792
286	3843.417611
287	3840.216307
288	3838.134615
289	3836.700061
290	3834.569986
291	3832.626979
292	3831.101665
293	3830.33426
294	3826.786344
295	3824.713145
296	3823.416279
297	3821.347573
298	3820.057626
299	3818.325737
300	3814.673281
301	3813.394068
302	3811.165509
303	3809.273361
304	3808.703119
305	3805.288851
306	3803.522439
307	3802.052801
308	3801.226365
309	3800.552734
310	3798.696521
311	3796.496114
312	3794.942138
313	3793.432048
314	3792.780581
315	3792.068498
316	3788.117176
317	3785.982512
318	3785.043701
319	3784.12976
320	3783.313368
321	3780.605763
322	3777.546401
323	3776.852227
324	3776.02627
325	3775.392367
326	3772.716422
327	3772.049902
328	3770.144171
329	3768.238441
330	3765.028014
331	3763.68157
332	3762.266269
333	3760.257341
334	3758.319293
335	3755.391607
336	3753.04751
337	3751.897232
338	3751.11218
339	3749.721021
340	3748.129625
341	3746.518597
342	3742.230278
343	3740.912741
344	3737.90311
345	3735.871763
346	3732.698328
347	3731.349329
348	3730.819844
349	3727.589476
350	3726.771025
351	3724.955685
352	3724.179979
353	3722.42179
354	3721.97444
355	3721.097375
356	3719.867292
357	3719.268761
358	3716.058914
359	3714.511756
360	3713.197406
361	3707.178394
362	3705.966966
363	3702.877988
364	3700.265709
365	3699.188537
366	3697.666223
367	3695.598739
368	3694.85347
369	3693.671961
370	3692.404782
371	3692.199887
372	3689.463471
373	3687.904389
374	3686.655378
375	3686.135804
376	3685.14126
377	3684.980759
378	3682.05194
379	3680.73894
380	3680.282041
381	3678.935268
382	3678.219834
383	3676.586164
384	3673.094369
385	3672.203642
386	3671.711922
387	3668.816906
388	3666.844286
389	3663.949203
390	3662.941913
391	3661.114872
392	3660.454377
393	3659.352294
394	3656.475464
395	3652.543658
396	3652.083704
397	3651.035043
398	3649.791991
399	3649.061896
400	3646.847434
401	3645.087355
402	3644.986262
403	3643.051757
404	3640.504503
405	3639.657997
406	3638.627054
407	3638.485015
408	3635.255518
409	3634.041317
410	3630.440301
411	3629.283088
412	3628.094333
413	3626.370809
414	3624.445787
415	3622.652971
416	3622.206039
417	3620.900282
418	3620.08081
419	3618.612342
420	3616.491735
421	3615.076243
422	3613.584458
423	3613.166843
424	3611.701836
425	3610.760166
426	3608.187838
427	3605.420498
428	3602.662559
429	3601.405498
430	3600.220586
431	3597.798043
432	3594.963561
433	3594.443935
434	3593.209046
435	3592.70958
436	3590.839961
437	3588.593294
438	3586.304965
439	3585.162972
440	3584.145368
